ALLEEN DE EERSTE 4 KOLOMMEN PARSEN
Uur van de dag,Gebruikers,Nieuwe gebruikers,Sessies 
2018010100,1,1,1,0
2018010102,1,1,1,0
2018010103,1,1,2,0
2018010106,1,1,1,0
2018010107,1,1,1,0
2018010108,1,1,1,0
2018010109,2,0,2,0
2018010110,5,0,5,0
2018010111,4,3,4,0
2018010112,9,5,8,0
2018010113,10,4,10,0
2018010114,13,4,14,2
2018010115,9,5,12,0
2018010116,8,3,8,0
2018010117,6,2,6,0
2018010118,8,4,8,0
2018010119,6,3,7,0
2018010120,13,8,13,1
2018010121,13,2,12,0
2018010122,9,4,9,0
2018010123,6,2,6,0
2018010200,2,1,2,0
2018010201,6,5,7,0
2018010202,1,1,3,0
2018010203,1,0,1,0
2018010204,1,0,1,0
2018010207,14,4,14,0
2018010208,58,17,57,0
2018010209,95,25,94,1
2018010210,82,18,82,2
2018010211,97,42,98,0
2018010212,51,19,49,1
2018010213,86,32,86,4
2018010214,69,19,66,1
2018010215,72,23,75,2
2018010216,56,20,61,0
2018010217,31,14,28,0
2018010218,11,3,11,0
2018010219,15,6,14,0
2018010220,22,16,23,1
2018010221,13,5,13,0
2018010222,16,10,16,0
2018010223,9,3,9,0
2018010300,6,4,6,0
2018010301,4,2,5,0
2018010302,5,4,5,0
2018010303,1,0,1,0
2018010305,3,2,3,0
2018010306,2,1,2,0
2018010307,8,2,8,1
2018010308,73,16,74,0
2018010309,90,33,89,2
2018010310,92,34,90,0
2018010311,100,34,106,5
2018010312,74,28,74,3
2018010313,84,28,85,2
2018010314,87,31,87,0
2018010315,79,29,82,0
2018010316,67,21,62,0
2018010317,24,8,26,0
2018010318,16,7,17,0
2018010319,18,8,18,0
2018010320,32,18,33,1
2018010321,20,17,19,1
2018010322,18,6,16,0
2018010323,5,1,5,0
2018010400,5,1,5,1
2018010401,2,1,2,0
2018010402,1,0,0,0
2018010403,2,2,2,0
2018010406,1,0,1,0
2018010407,17,6,17,0
2018010408,77,9,77,1
2018010409,109,32,109,0
2018010410,92,22,93,0
2018010411,96,25,95,3
2018010412,63,22,63,1
2018010413,85,32,84,1
2018010414,101,35,101,5
2018010415,83,29,86,2
2018010416,72,22,68,3
2018010417,33,12,31,0
2018010418,10,3,10,0
2018010419,23,12,23,0
2018010420,24,10,24,1
2018010421,11,6,11,0
